x;y
-4.31;-0.3916176
-4.30;-0.4007992
-4.29;-0.4099406
-4.28;-0.4190411
-4.27;-0.4280997
-4.26;-0.4371154
-4.25;-0.4460875
-4.24;-0.4550149
-4.23;-0.4638969
-4.22;-0.4727324
-4.21;-0.4815207
-4.20;-0.4902608
-4.19;-0.4989519
-4.18;-0.5075931
-4.17;-0.5161836
-4.16;-0.5247224
-4.15;-0.5332088
-4.14;-0.5416418
-4.13;-0.5500207
-4.12;-0.5583445
-4.11;-0.5666126
-4.10;-0.5748239
-4.09;-0.5829778
-4.08;-0.5910734
-4.07;-0.5991099
-4.06;-0.6070865
-4.05;-0.6150024
-4.04;-0.6228567
-4.03;-0.6306488
-4.02;-0.6383779
-4.01;-0.6460430
-4.00;-0.6536436
-3.99;-0.6611788
-3.98;-0.6686479
-3.97;-0.6760502
-3.96;-0.6833848
-3.95;-0.6906511
-3.94;-0.6978483
-3.93;-0.7049758
-3.92;-0.7120327
-3.91;-0.7190185
-3.90;-0.7259323
-3.89;-0.7327736
-3.88;-0.7395415
-3.87;-0.7462355
-3.86;-0.7528549
-3.85;-0.7593991
-3.84;-0.7658672
-3.83;-0.7722588
-3.82;-0.7785732
-3.81;-0.7848097
-3.80;-0.7909677
-3.79;-0.7970466
-3.78;-0.8030459
-3.77;-0.8089648
-3.76;-0.8148028
-3.75;-0.8205594
-3.74;-0.8262338
-3.73;-0.8318257
-3.72;-0.8373344
-3.71;-0.8427594
-3.70;-0.8481000
-3.69;-0.8533559
-3.68;-0.8585264
-3.67;-0.8636111
-3.66;-0.8686094
-3.65;-0.8735209
-3.64;-0.8783450
-3.63;-0.8830813
-3.62;-0.8877293
-3.61;-0.8922884
-3.60;-0.8967584
-3.59;-0.9011387
-3.58;-0.9054289
-3.57;-0.9096285
-3.56;-0.9137372
-3.55;-0.9177545
-3.54;-0.9216800
-3.53;-0.9255134
-3.52;-0.9292542
-3.51;-0.9329021
-3.50;-0.9364567
-3.49;-0.9399176
-3.48;-0.9432846
-3.47;-0.9465572
-3.46;-0.9497352
-3.45;-0.9528182
-3.44;-0.9558059
-3.43;-0.9586981
-3.42;-0.9614944
-3.41;-0.9641945
-3.40;-0.9667982
-3.39;-0.9693052
-3.38;-0.9717153
-3.37;-0.9740282
-3.36;-0.9762438
-3.35;-0.9783617
-3.34;-0.9803817
-3.33;-0.9823038
-3.32;-0.9841276
-3.31;-0.9858530
-3.30;-0.9874798
-3.29;-0.9890078
-3.28;-0.9904370
-3.27;-0.9917671
-3.26;-0.9929980
-3.25;-0.9941297
-3.24;-0.9951619
-3.23;-0.9960946
-3.22;-0.9969277
-3.21;-0.9976611
-3.20;-0.9982948
-3.19;-0.9988286
-3.18;-0.9992625
-3.17;-0.9995965
-3.16;-0.9998306
-3.15;-0.9999647
-3.14;-0.9999987
-3.13;-0.9999328
-3.12;-0.9997669
-3.11;-0.9995010
-3.10;-0.9991352
-3.09;-0.9986694
-3.08;-0.9981038
-3.07;-0.9974383
-3.06;-0.9966732
-3.05;-0.9958083
-3.04;-0.9948439
-3.03;-0.9937800
-3.02;-0.9926167
-3.01;-0.9913542
-3.00;-0.9899925
-2.99;-0.9885318
-2.98;-0.9869723
-2.97;-0.9853141
-2.96;-0.9835573
-2.95;-0.9817022
-2.94;-0.9797489
-2.93;-0.9776977
-2.92;-0.9755486
-2.91;-0.9733021
-2.90;-0.9709582
-2.89;-0.9685172
-2.88;-0.9659793
-2.87;-0.9633449
-2.86;-0.9606141
-2.85;-0.9577872
-2.84;-0.9548646
-2.83;-0.9518465
-2.82;-0.9487332
-2.81;-0.9455251
-2.80;-0.9422223
-2.79;-0.9388254
-2.78;-0.9353346
-2.77;-0.9317502
-2.76;-0.9280727
-2.75;-0.9243024
-2.74;-0.9204396
-2.73;-0.9164848
-2.72;-0.9124384
-2.71;-0.9083007
-2.70;-0.9040721
-2.69;-0.8997532
-2.68;-0.8953443
-2.67;-0.8908459
-2.66;-0.8862583
-2.65;-0.8815822
-2.64;-0.8768179
-2.63;-0.8719659
-2.62;-0.8670267
-2.61;-0.8620008
-2.60;-0.8568888
-2.59;-0.8516910
-2.58;-0.8464080
-2.57;-0.8410405
-2.56;-0.8355888
-2.55;-0.8300535
-2.54;-0.8244353
-2.53;-0.8187346
-2.52;-0.8129520
-2.51;-0.8070882
-2.50;-0.8011436
-2.49;-0.7951189
-2.48;-0.7890147
-2.47;-0.7828317
-2.46;-0.7765703
-2.45;-0.7702313
-2.44;-0.7638152
-2.43;-0.7573228
-2.42;-0.7507546
-2.41;-0.7441114
-2.40;-0.7373937
-2.39;-0.7306023
-2.38;-0.7237379
-2.37;-0.7168011
-2.36;-0.7097926
-2.35;-0.7027131
-2.34;-0.6955633
-2.33;-0.6883440
-2.32;-0.6810559
-2.31;-0.6736996
-2.30;-0.6662760
-2.29;-0.6587858
-2.28;-0.6512297
-2.27;-0.6436084
-2.26;-0.6359228
-2.25;-0.6281736
-2.24;-0.6203616
-2.23;-0.6124876
-2.22;-0.6045523
-2.21;-0.5965565
-2.20;-0.5885011
-2.19;-0.5803869
-2.18;-0.5722146
-2.17;-0.5639851
-2.16;-0.5556991
-2.15;-0.5473577
-2.14;-0.5389614
-2.13;-0.5305113
-2.12;-0.5220082
-2.11;-0.5134528
-2.10;-0.5048461
-2.09;-0.4961889
-2.08;-0.4874821
-2.07;-0.4787265
-2.06;-0.4699231
-2.05;-0.4610727
-2.04;-0.4521762
-2.03;-0.4432344
-2.02;-0.4342483
-2.01;-0.4252189
-2.00;-0.4161468
-1.99;-0.4070332
-1.98;-0.3978789
-1.97;-0.3886848
-1.96;-0.3794518
-1.95;-0.3701808
-1.94;-0.3608729
-1.93;-0.3515288
-1.92;-0.3421497
-1.91;-0.3327362
-1.90;-0.3232896
-1.89;-0.3138106
-1.88;-0.3043002
-1.87;-0.2947594
-1.86;-0.2851891
-1.85;-0.2755902
-1.84;-0.2659639
-1.83;-0.2563109
-1.82;-0.2466323
-1.81;-0.2369290
-1.80;-0.2272021
-1.79;-0.2174524
-1.78;-0.2076810
-1.77;-0.1978888
-1.76;-0.1880768
-1.75;-0.1782461
-1.74;-0.1683974
-1.73;-0.1585320
-1.72;-0.1486507
-1.71;-0.1387545
-1.70;-0.1288445
-1.69;-0.1189216
-1.68;-0.1089868
-1.67;-0.0990410
-1.66;-0.0890854
-1.65;-0.0791209
-1.64;-0.0691484
-1.63;-0.0591691
-1.62;-0.0491838
-1.61;-0.0391936
-1.60;-0.0291995
-1.59;-0.0192025
-1.58;-0.0092035
-1.57;0.0007963
-1.56;0.0107961
-1.55;0.0207948
-1.54;0.0307915
-1.53;0.0407850
-1.52;0.0507745
-1.51;0.0607589
-1.50;0.0707372
-1.49;0.0807084
-1.48;0.0906716
-1.47;0.1006257
-1.46;0.1105698
-1.45;0.1205028
-1.44;0.1304237
-1.43;0.1403316
-1.42;0.1502255
-1.41;0.1601043
-1.40;0.1699671
-1.39;0.1798130
-1.38;0.1896408
-1.37;0.1994497
-1.36;0.2092387
-1.35;0.2190067
-1.34;0.2287528
-1.33;0.2384761
-1.32;0.2481755
-1.31;0.2578500
-1.30;0.2674988
-1.29;0.2771209
-1.28;0.2867152
-1.27;0.2962809
-1.26;0.3058169
-1.25;0.3153224
-1.24;0.3247963
-1.23;0.3342377
-1.22;0.3436457
-1.21;0.3530194
-1.20;0.3623578
-1.19;0.3716599
-1.18;0.3809248
-1.17;0.3901517
-1.16;0.3993395
-1.15;0.4084874
-1.14;0.4175945
-1.13;0.4266598
-1.12;0.4356824
-1.11;0.4446615
-1.10;0.4535961
-1.09;0.4624854
-1.08;0.4713284
-1.07;0.4801242
-1.06;0.4888721
-1.05;0.4975710
-1.04;0.5062203
-1.03;0.5148188
-1.02;0.5233660
-1.01;0.5318607
-1.00;0.5403023
-0.99;0.5486899
-0.98;0.5570225
-0.97;0.5652995
-0.96;0.5735200
-0.95;0.5816831
-0.94;0.5897880
-0.93;0.5978340
-0.92;0.6058202
-0.91;0.6137457
-0.90;0.6216100
-0.89;0.6294120
-0.88;0.6371511
-0.87;0.6448265
-0.86;0.6524375
-0.85;0.6599831
-0.84;0.6674628
-0.83;0.6748758
-0.82;0.6822212
-0.81;0.6894984
-0.80;0.6967067
-0.79;0.7038453
-0.78;0.7109135
-0.77;0.7179107
-0.76;0.7248360
-0.75;0.7316889
-0.74;0.7384686
-0.73;0.7451744
-0.72;0.7518057
-0.71;0.7583619
-0.70;0.7648422
-0.69;0.7712460
-0.68;0.7775727
-0.67;0.7838217
-0.66;0.7899922
-0.65;0.7960838
-0.64;0.8020958
-0.63;0.8080275
-0.62;0.8138785
-0.61;0.8196480
-0.60;0.8253356
